"Message",Low,"Compilação iniciada."
"Message",Low,"Projecto ""Unnamed_1"" (destinos predefinidos):"
"Message",Low,"A criar com a versão das ferramentas ""4.0""."
"Message",Low,"Destino ""PrintILCStartMessage"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\Unnamed_1"" (o destino ""Build"" depende dele):"
"Message",Low,"A utilizar a tarefa ""IlcMessageTask"" da assemblagem ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe""."
"Message",Low,"Tarefa ""IlcMessageTask"""
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Conclusão de execução da tarefa ""IlcMessageTask""."
"Message",Low,"Conclusão da criação do destino ""PrintILCStartMessage"" no projecto ""Unnamed_1""."
"Message",Low,"Destino ""LogAppContextSwitches"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\Unnamed_1"" (o destino ""SetMainTargetPaths"" depende dele):"
"Message",Low,"A utilizar a tarefa ""Message"" da assemblagem ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Tarefa ""Message"""
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Conclusão de execução da tarefa ""Message""."
"Message",Low,"Conclusão da criação do destino ""LogAppContextSwitches"" no projecto ""Unnamed_1""."
"Message",Low,"Destino ""SetMainTargetPaths"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\Unnamed_1"" (o destino ""CopyNativeExecutablesToOutput"" depende dele):"
"Message",Low,"Conclusão da criação do destino ""SetMainTargetPaths"" no projecto ""Unnamed_1""."
"Message",Low,"O destino ""GenerateFakeExe"" foi ignorado devido a uma condição falsa; (!Exists('@(InputILTarget)')) foi avaliado como (!Exists('C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\in\CMOVStockApp.exe'))."
"Message",Low,"Destino ""InjectCoreLibTypeForwards"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\Unnamed_1"" (o destino ""RunILTransforms"" depende dele):"
"Message",Low,"A utilizar a tarefa ""MakeDir"" da assemblagem ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Tarefa ""MakeDir"""
"Message",Normal,"A criar o directório ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\intermediate\TransformedCoreLib\""."
"Message",Low,"Conclusão de execução da tarefa ""MakeDir""."
"Message",Low,"A utilizar a tarefa ""ILTransformTask"" da assemblagem ""Microsoft.Build.ILTasks""."
"Message",Low,"Tarefa ""ILTransformTask"""
"Message",Normal,"Running 'InjectCoreLibTypeForwards' transform, heap at 16 MB."
"Message",Normal,"Running 'InjectCoreLibIReflectableTypeSupport' transform, heap at 35 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 35 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"   ms | heap delta | name"
"Message",Normal,"   504 |         19 | InjectCoreLibTypeForwards"
"Message",Normal,"   458 |         20 | WriteAssemblies"
"Message",Normal,"     1 |          0 | InjectCoreLibIReflectableTypeSupport"
"Message",Low,"Conclusão de execução da tarefa ""ILTransformTask""."
"Message",Low,"Conclusão da criação do destino ""InjectCoreLibTypeForwards"" no projecto ""Unnamed_1""."
"Message",Low,"Destino ""InjectCoreLibTypeForwards"" ignorado. Anteriormente criado com êxito."
"Message",Low,"Destino ""PreResolveTransforms"" no ficheiro ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" do projecto ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\Unnamed_1"" (o destino ""RunILTransforms"" depende dele):"
"Message",Low,"A criar completamente o destino ""PreResolveTransforms""."
"Message",Low,"O ficheiro de saída ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\CMOVStockApp.exe"" não existe."
"Message",Low,"Tarefa ""MakeDir"""
"Message",Normal,"A criar o directório ""C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\""."
"Message",Low,"Conclusão de execução da tarefa ""MakeDir""."
"Message",Low,"A utilizar a tarefa ""AssemblyClosureTask"" da assemblagem ""Microsoft.Build.ILTasks""."
"Message",Low,"Tarefa ""AssemblyClosureTask"""
"Message",Low,"Conclusão de execução da tarefa ""AssemblyClosureTask""."
"Message",Low,"Tarefa ""ILTransformTask"""
"Message",Normal,"Running 'ResolveSelfReferences' transform, heap at 35 MB."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\in\Microsoft.ApplicationInsights.dll'. Symbols should be placed in the same folder as the assembly."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\in\Microsoft.ApplicationInsights.Extensibility.Windows.dll'. Symbols should be placed in the same folder as the assembly."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\in\Microsoft.ApplicationInsights.PersistenceChannel.dll'. Symbols should be placed in the same folder as the assembly."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\in\Newtonsoft.Json.dll'. Symbols should be placed in the same folder as the assembly."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\in\WinRTXamlToolkit.Controls.DataVisualization.dll'. Symbols should be placed in the same folder as the assembly."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\jrnf0\documents\visual studio 2015\Projects\CMOVStockApp\CMOVStockApp\obj\x86\Release\ilc\in\WinRTXamlToolkit.dll'. Symbols should be placed in the same folder as the assembly."
"Message",Normal,"Running 'RemoveDuplicateMembers' transform, heap at 85 MB."
"Message",Normal,"Running 'GenericNameValidator' transform, heap at 85 MB."
"Message",Normal,"Running 'PortableLib' transform, heap at 85 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 85 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"   ms | heap delta | name"
"Message",Normal,"   530 |         50 | ResolveSelfReferences"
"Message",Normal,"   236 |          0 | PortableLib"
"Message",Normal,"   131 |          7 | WriteAssemblies"
"Message",Normal,"    16 |          0 | RemoveDuplicateMembers"
"Message",Normal,"     0 |          0 | GenericNameValidator"
"Message",Low,"Conclusão de execução da tarefa ""ILTransformTask""."
